Sl No,Name,Symbol
128,MANAPPURAM FINANCE LIMITED,MANAPPURAM
129,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,MRPL
130,MARICO LIMITED,MARICO
131,MARUTI SUZUKI INDIA LTD.,MARUTI
132,MAX FINANCIAL SERVICES LIMITED,MFSL
133,MINDTREE LIMITED,MINDTREE
134,MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI
135,MRF LTD,MRF
136,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,MCX
137,MUTHOOT FINANCE LIMITED,MUTHOOTFIN
138,NATIONAL ALUMINIUM COMPANY LIMITED,NATIONALUM
139,NBCC (INDIA) LIMITED,NBCC
140,NCC LIMITED,NCC
141,NESTLE INDIA LIMITED,NESTLEIND
142,NHPC LTD,NHPC
143,NIIT TECHNOLOGIES LTD,NIITTECH
144,NMDC LTD.,NMDC
145,NTPC LTD,NTPC
146,OIL AND NATURAL GAS CORP.,ONGC
147,OIL INDIA LTD,OIL
148,ORACLE FIN SERV SOFT LTD.,OFSS
149,ORIENTAL BANK OF COMMERCE,ORIENTBANK
150,PAGE INDUSTRIES LTD,PAGEIND
151,PC JEWELLER LTD,PCJEWELLER
152,PETRONET LNG LIMITED,PETRONET
153,PIDILITE INDUSTRIES LTD,PIDILITIND
154,PIRAMAL ENTERPRISES LIMITED,PEL
155,POWER FIN CORP LTD.,PFC
156,POWER GRID CORP. LTD.,POWERGRID
157,PTC INDIA LIMITED,PTC
158,PUNJAB NATIONAL BANK,PNB
159,PVR LIMITED,PVR
160,RAYMOND LIMITED,RAYMOND
161,RBL BANK LIMITED,RBLBANK
162,RELIANCE CAPITAL LTD,RELCAPITAL
163,RELIANCE COMMUNICATIONS L,RCOM
164,RELIANCE DEFENCE AND ENGINEERING LIMITED,RDEL
165,RELIANCE INDUSTRIES LTD,RELIANCE
166,RELIANCE INFRASTRUCTU LTD,RELINFRA
167,RELIANCE POWER LTD.,RPOWER
168,REPCO HOME FINANCE LIMITED,REPCOHOME
169,RURAL ELEC CORP. LTD.,RECLTD
